title,description,instructions,cooking_time_minutes,servings,difficulty,meal_type
Cơm gà rau củ,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",16,2,easy,dinner
Bò xào cà rốt hành,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",17,2,easy,breakfast
Trứng chiên khoai tây tỏi,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",18,2,medium,lunch
Cơm bông cải sốt cà,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",19,2,easy,dinner
Mì Ý hành tây dầu ô liu,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",20,2,hard,breakfast
Cà rốt xào tỏi muối,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",21,2,medium,lunch
Khoai tây cà chua tiêu đen,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",22,2,easy,dinner
Bông cải xào dầu,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",23,2,easy,breakfast
Hành tây muối hành lá,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",24,2,medium,lunch
Tỏi tiêu ớt chuông,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",25,2,easy,dinner
Cà chua bún gạo,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",16,2,hard,breakfast
Đậu hũ hành lá dầu ô liu,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",17,2,medium,lunch
Tôm rang muối ớt chuông,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",18,2,easy,dinner
Gà bún gạo tiêu rang,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",19,2,easy,breakfast
Bò đậu hũ kho nước mắm,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",20,2,medium,lunch
Tôm trứng chiên hành,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",21,2,easy,dinner
Gà ớt chuông cơm trắng,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",22,2,hard,breakfast
Bò mì Ý trộn bún,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",23,2,medium,lunch
Đậu hũ trứng rim cà rốt,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",24,2,easy,dinner
Tôm khoai tây cơm,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",25,2,easy,breakfast
Mì Ý gà bông cải,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",16,2,medium,lunch
Bò hầm cà rốt hành,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",17,2,easy,dinner
Trứng khoai tây áp chảo tỏi,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",18,2,hard,breakfast
Cơm bông cải cà chua tiêu,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",19,2,medium,lunch
Mì Ý hành tây tiêu dầu,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",20,2,easy,dinner
Cà rốt tỏi rang muối,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",21,2,easy,breakfast
Khoai tây cà chua tiêu cay,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",22,2,medium,lunch
Bông cải nước mắm tỏi,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",23,2,easy,dinner
Hành tây bún gạo muối,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",24,2,hard,breakfast
Ớt chuông tỏi tiêu nướng,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",25,2,medium,lunch
Cà chua bún gạo sốt,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",16,2,easy,dinner
Đậu hũ hành lá xào,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",17,2,easy,breakfast
Tôm ớt chuông muối,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",18,2,medium,lunch
Gà bún gạo tiêu đen,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",19,2,easy,dinner
Bò đậu hũ rim nước mắm,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",20,2,hard,breakfast
Tôm trứng hành lá rang,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",21,2,medium,lunch
Cơm gà ớt chuông,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",22,2,easy,dinner
Bò mì Ý bún gạo trộn,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",23,2,easy,breakfast
Đậu hũ trứng sốt cà rốt,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",24,2,medium,lunch
Cơm tôm khoai tây,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",25,2,easy,dinner
Mì Ý gà bông cải xanh,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",16,2,hard,breakfast
Bò cà rốt hành tây om,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",17,2,medium,lunch
Trứng khoai tây tỏi giòn,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",18,2,easy,dinner
Cơm bông cải cà chua đậm,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",19,2,easy,breakfast
Mì Ý hành tây dầu thơm,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",20,2,medium,lunch
Cà rốt tỏi muối tiêu rang,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",21,2,easy,dinner
Khoai tây cà chua tiêu thơm,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",22,2,hard,breakfast
Bông cải dầu nước mắm tỏi,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",23,2,medium,lunch
Hành tây muối hành lá giòn,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",24,2,easy,dinner
Ớt chuông tỏi tiêu nướng,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",25,2,easy,breakfast

